uid,x,y,name_jp,name_en,attribute,obj_name_en,obj_attributes,category,categories,importance,category_pin,contents,memo_jp,memo_en,updated_at,link_url_jp,link_url_en,link_anchor,marker_display_style,parent_uid,parent_type
p_1768185204,5646.653535,6749.533594,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Tube"", ""item_name_jp"": ""チューブ"", ""item_name_en"": ""Tube"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Valve"", ""item_name_jp"": ""バルブ"", ""item_name_en"": ""Valve"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Security Logger"", ""item_name_jp"": ""セキュリティログ"", ""item_name_en"": ""Security Logger"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""1500""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1768177650,5393.655066,7717.529349,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Electronics"", ""item_name_jp"": ""電子部品"", ""item_name_en"": ""Electronics"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Stator"", ""item_name_jp"": ""ステーター"", ""item_name_en"": ""Stator"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""30"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Frame Memory Module"", ""item_name_jp"": ""フレームメモリモジュール"", ""item_name_en"": ""Frame Memory Module"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""7000""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1768112703,3750.849052,3292.862676,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Electronics"", ""item_name_jp"": ""電子部品"", ""item_name_en"": ""Electronics"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Rotor"", ""item_name_jp"": ""ローター"", ""item_name_en"": ""Rotor"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Frame Memory Module"", ""item_name_jp"": ""フレームメモリモジュール"", ""item_name_en"": ""Frame Memory Module"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""7000""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1768109623,5590.797719,3302.772112,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Stabilizer"", ""item_name_jp"": ""スタビライザー"", ""item_name_en"": ""Stabilizer"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Chemicals"", ""item_name_jp"": ""化学物質"", ""item_name_en"": ""Chemicals"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Frame Memory Module"", ""item_name_jp"": ""フレームメモリモジュール"", ""item_name_en"": ""Frame Memory Module"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""7000""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1768186523,6929.683279,6246.100786,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Stator"", ""item_name_jp"": ""ステーター"", ""item_name_en"": ""Stator"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Synthetic Silicon"", ""item_name_jp"": ""合成シリコン"", ""item_name_en"": ""Synthetic Silicon"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Frame Memory Module"", ""item_name_jp"": ""フレームメモリモジュール"", ""item_name_en"": ""Frame Memory Module"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""7000""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1768185953,6492.961808,6778.851934,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Rotor"", ""item_name_jp"": ""ローター"", ""item_name_en"": ""Rotor"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Frame Memory Module"", ""item_name_jp"": ""フレームメモリモジュール"", ""item_name_en"": ""Frame Memory Module"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""7000""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1768187778,6759.37442,7512.182964,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Stabilizer"", ""item_name_jp"": ""スタビライザー"", ""item_name_en"": ""Stabilizer"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Chemicals"", ""item_name_jp"": ""化学物質"", ""item_name_en"": ""Chemicals"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Frame Memory Module"", ""item_name_jp"": ""フレームメモリモジュール"", ""item_name_en"": ""Frame Memory Module"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""7000""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1767807380,2925.949023,5327.348592,,,DRONE_WRECK,,"{""source_category_id"": ""source_drone_wreck"", ""source_category_jp"": ""ドローンの残骸"", ""source_category_en"": ""Drone Wreck""}",,,,DRONE_WRECK,,,,2026-02-04T15:28:12,,,,,,
p_1767807479,3469.270089,5151.54156,,,DEAD_BODY,,"{""source_category_id"": ""source_dead_body"", ""source_category_jp"": ""遺体"", ""source_category_en"": ""Dead Body""}",戦時債権,"[{""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""10"", ""attributes"": {}}]",,DEAD_BODY,,,,2026-02-04T15:28:12,,,,,,
p_1767875701,2367.019126,6344.811098,,,UNDERGROUND_CAVE,,"{""source_category_id"": ""source_underground_cave"", ""source_category_jp"": ""地下洞窟"", ""source_category_en"": ""Underground Cave""}",,,,UNDERGROUND_CAVE,,,,2026-02-04T15:28:12,,,,,,
p_1767876094,2374.795153,6371.884346,,,DEAD_BODY,,"{""source_category_id"": ""source_dead_body"", ""source_category_jp"": ""遺体"", ""source_category_en"": ""Dead Body""}",LEM,"[{""cat_id"": ""lem"", ""category"": ""LEM"", ""item_id"": ""Swapper LEM"", ""item_name_jp"": ""スワッパーLEM"", ""item_name_en"": ""Swapper LEM"", ""qty"": ""1"", ""attributes"": {""ランク"": ""下級""}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""12"", ""attributes"": {}}]",,DEAD_BODY,,,,2026-02-04T15:28:12,,,,,,
p_1767877067,2358.570793,6618.525007,,,DEAD_BODY,,"{""source_category_id"": ""source_dead_body"", ""source_category_jp"": ""遺体"", ""source_category_en"": ""Dead Body""}",,,,DEAD_BODY,,,,2026-02-04T15:28:12,,,,,,
p_1767878831,2912.075694,6568.043104,,,GEO_SCANNER,,"{""source_category_id"": ""source_geo_scanner"", ""source_category_jp"": ""ジオスキャナー"", ""source_category_en"": ""Geo Scanner""}",,,,GEO_SCANNER,,,,2026-02-04T15:28:12,,,,,,
p_1767879103,2934.364051,6323.478086,,,DEAD_BODY,,"{""source_category_id"": ""source_dead_body"", ""source_category_jp"": ""遺体"", ""source_category_en"": ""Dead Body""}",,,,DEAD_BODY,,,,2026-02-04T15:28:12,,,,,,
p_1767879243,2752.200403,6049.059676,,,DRONE_WRECK,,"{""source_category_id"": ""source_drone_wreck"", ""source_category_jp"": ""ドローンの残骸"", ""source_category_en"": ""Drone Wreck""}",,,,DRONE_WRECK,,,,2026-02-04T15:28:12,,,,,,
p_1767879528,1928.934211,7170.164662,,,SPACESHIP,,"{""source_category_id"": ""source_spaceship"", ""source_category_jp"": ""宇宙船"", ""source_category_en"": ""Spaceship""}",,,,SPACESHIP,,,,2026-02-04T15:28:12,,,,,,
p_1767879598,3785.68985,7998.542987,,,GEO_SCANNER,,"{""source_category_id"": ""source_geo_scanner"", ""source_category_jp"": ""ジオスキャナー"", ""source_category_en"": ""Geo Scanner""}",,,,GEO_SCANNER,,,,2026-02-04T15:28:12,,,,,,
p_1767879633,1677.596781,5930.607244,,,GEO_SCANNER,,"{""source_category_id"": ""source_geo_scanner"", ""source_category_jp"": ""ジオスキャナー"", ""source_category_en"": ""Geo Scanner""}",,,,GEO_SCANNER,,,,2026-02-04T15:28:12,,,,,,
p_1767879668,2186.861895,4985.525797,,,GEO_SCANNER,,"{""source_category_id"": ""source_geo_scanner"", ""source_category_jp"": ""ジオスキャナー"", ""source_category_en"": ""Geo Scanner""}",,,,GEO_SCANNER,,,,2026-02-04T15:28:12,,,,,,
p_1767879698,3480.423882,5394.347452,,,GEO_SCANNER,,"{""source_category_id"": ""source_geo_scanner"", ""source_category_jp"": ""ジオスキャナー"", ""source_category_en"": ""Geo Scanner""}",,,,GEO_SCANNER,,,,2026-02-04T15:28:12,,,,,,
p_1767879723,4019.132506,5405.051081,,,UNDERGROUND_CAVE,,"{""source_category_id"": ""source_underground_cave"", ""source_category_jp"": ""地下洞窟"", ""source_category_en"": ""Underground Cave""}",,,,UNDERGROUND_CAVE,,,,2026-02-04T15:28:12,,,,,,
p_1767879744,3165.809377,4880.497645,,,UNDERGROUND_CAVE,,"{""source_category_id"": ""source_underground_cave"", ""source_category_jp"": ""地下洞窟"", ""source_category_en"": ""Underground Cave""}",,,,UNDERGROUND_CAVE,,,,2026-02-04T15:28:12,,,,,,
p_1767879753,2882.701317,4913.193394,,,UNDERGROUND_CAVE,,"{""source_category_id"": ""source_underground_cave"", ""source_category_jp"": ""地下洞窟"", ""source_category_en"": ""Underground Cave""}",,,,UNDERGROUND_CAVE,,,,2026-02-04T15:28:12,,,,,,
p_1767879769,2206.931564,4757.217395,,,UNDERGROUND_CAVE,,"{""source_category_id"": ""source_underground_cave"", ""source_category_jp"": ""地下洞窟"", ""source_category_en"": ""Underground Cave""}",,,,UNDERGROUND_CAVE,,,,2026-02-04T15:28:12,,,,,,
p_1767879878,3539.354926,5641.930101,,,UNDERGROUND_CAVE,,"{""source_category_id"": ""source_underground_cave"", ""source_category_jp"": ""地下洞窟"", ""source_category_en"": ""Underground Cave""}",,,,UNDERGROUND_CAVE,,,,2026-02-04T15:28:12,,,,,,
p_1767881800,2488.455218,5691.793316,,,DEAD_BODY,,"{""source_category_id"": ""source_dead_body"", ""source_category_jp"": ""遺体"", ""source_category_en"": ""Dead Body""}",戦時債権,"[{""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""7"", ""attributes"": {}}]",,DEAD_BODY,,,,2026-02-04T15:28:12,,,,,,
p_1767882178,2496.532726,5691.11731,,,RUBBLE_PILE,,"{""source_category_id"": ""source_rubble_pile"", ""source_category_jp"": ""がれきの山"", ""source_category_en"": ""Rubble Pile""}",交換アイテム,"[{""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Unknown Logic Board"", ""item_name_jp"": ""不明なロジックボード"", ""item_name_en"": ""Unknown Logic Board"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""200""}}]",,RUBBLE_PILE,,,,2026-02-04T15:28:12,,,,,,
p_1767882639,2513.271572,5644.768557,,,DEAD_BODY,,"{""source_category_id"": ""source_dead_body"", ""source_category_jp"": ""遺体"", ""source_category_en"": ""Dead Body""}",LEM,"[{""cat_id"": ""lem"", ""category"": ""LEM"", ""item_id"": ""Lifegiver LEM"", ""item_name_jp"": ""ライフギバーLEM"", ""item_name_en"": ""Lifegiver LEM"", ""qty"": ""1"", ""attributes"": {""ランク"": ""下級""}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Damaged Personal Interface"", ""item_name_jp"": ""損傷したパーソナルインターフェース"", ""item_name_en"": ""Damaged Personal Interface"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""500""}}]",,DEAD_BODY,,,,2026-02-04T15:28:12,,,,,,
p_1767883595,2567.723611,5673.456768,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",交換アイテム,"[{""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Damaged Personal Interface"", ""item_name_jp"": ""損傷したパーソナルインターフェース"", ""item_name_en"": ""Damaged Personal Interface"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""500""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1767883812,2576.399195,5646.420775,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",戦時債権,"[{""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""7"", ""attributes"": {}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1767884072,2517.081368,5559.511514,,,RUBBLE_PILE,,"{""source_category_id"": ""source_rubble_pile"", ""source_category_jp"": ""がれきの山"", ""source_category_en"": ""Rubble Pile""}",交換アイテム,"[{""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Unknown Logic Board"", ""item_name_jp"": ""不明なロジックボード"", ""item_name_en"": ""Unknown Logic Board"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""200""}}]",,RUBBLE_PILE,,,,2026-02-04T15:28:12,,,,,,
p_1767884128,2497.49392,5560.728379,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",戦時債権,"[{""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""7"", ""attributes"": {}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1767884320,2512.231919,5547.969275,,,DEAD_BODY,,"{""source_category_id"": ""source_dead_body"", ""source_category_jp"": ""遺体"", ""source_category_en"": ""Dead Body""}",LEM,"[{""cat_id"": ""lem"", ""category"": ""LEM"", ""item_id"": ""Air Jumper LEM"", ""item_name_jp"": ""エアジャンパーLEM"", ""item_name_en"": ""Air Jumper LEM"", ""qty"": ""1"", ""attributes"": {""ランク"": ""中級""}}]",,DEAD_BODY,,,,2026-02-04T15:28:12,,,,,,
p_1767884560,2338.579802,5512.17541,,,DRONE_WRECK,,"{""source_category_id"": ""source_drone_wreck"", ""source_category_jp"": ""ドローンの残骸"", ""source_category_en"": ""Drone Wreck""}",交換アイテム,"[{""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Damaged Logic Board"", ""item_name_jp"": ""損傷したロジックボード"", ""item_name_en"": ""Damaged Logic Board"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""400""}}]",,DRONE_WRECK,,,,2026-02-04T15:28:12,,,,,,
p_1767967309,2673.326256,5281.133494,,,DRONE_WRECK,,"{""source_category_id"": ""source_drone_wreck"", ""source_category_jp"": ""ドローンの残骸"", ""source_category_en"": ""Drone Wreck""}",交換アイテム,"[{""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Damaged Logic Board"", ""item_name_jp"": ""損傷したロジックボード"", ""item_name_en"": ""Damaged Logic Board"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""400""}}]",,DRONE_WRECK,,,,2026-02-04T15:28:12,,,,,,
p_1767967361,2666.256233,5212.812466,,,MONOLITH,,"{""source_category_id"": ""source_monolith"", ""source_category_jp"": ""モノリス"", ""source_category_en"": ""Monolith""}",,,,MONOLITH,,,,2026-02-04T15:28:12,,,,,,
