uid,x,y,name_jp,name_en,attribute,obj_name_en,obj_attributes,category,categories,importance,category_pin,contents,memo_jp,memo_en,updated_at,link_url_jp,link_url_en,marker_display_style,parent_uid,parent_type
p_1775382614,1507.1981040991243,3011.214227682909,デッドエアデプス,Dead Air Depth,POI,POI,,地形,"[{""cat_id"": ""TERRAIN"", ""category"": ""地形"", ""cat_name_en"": ""Terrain"", ""item_id"": ""CAVE"", ""item_name_jp"": ""洞窟"", ""item_name_en"": ""Cave"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-10T10:25:06,,,,,
p_1775382645,1502.2483566308185,3023.9421497442668,ジ・エーペックス,The Apex,POI,POI,,地形,"[{""cat_id"": ""TERRAIN"", ""category"": ""地形"", ""cat_name_en"": ""Terrain"", ""item_id"": ""CAVE"", ""item_name_jp"": ""洞窟"", ""item_name_en"": ""Cave"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-10T10:25:26,,,,,
p_1775437552,1343.1785549593026,3114.795365762636,,,ITEMS,Items,,ツール,"[{""cat_id"": ""TOOL"", ""category"": ""ツール"", ""cat_name_en"": ""Tool"", ""item_id"": ""IMPROVED_PICKAXE"", ""item_name_jp"": ""改良されたつるはし"", ""item_name_en"": ""Improved Pickaxe"", ""qty"": ""1"", ""attributes"": {}}]",5,ITEMS,,,,2026-04-17T11:00:36,,,,,
p_1775438441,1394.5214786953927,3197.720203075296,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUNPED_MILITARY_CRATE"", ""item_name_jp"": ""捨てられた軍用クレート"", ""item_name_en"": ""Dunped Military Crate"", ""qty"": ""4"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUMPED_FOOT_LOCKER"", ""item_name_jp"": ""捨てられたフットロッカー"", ""item_name_en"": ""Dumped Foot Locker"", ""qty"": ""3"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUMPED_AMMO_BOX"", ""item_name_jp"": ""捨てられた弾薬箱"", ""item_name_en"": ""Dumped Ammo Box"", ""qty"": ""5"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUMPED_DUFFLE_BAG"", ""item_name_jp"": ""捨てられたダッフルバッグ"", ""item_name_en"": ""Dumped Duffle Bag"", ""qty"": ""4"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}]",5,DEPLOYABLES,,,,2026-04-16T16:09:42,,,,p_1776323250,inside
p_1775457547,1530.3125057877298,3061.240583782132,3番製粉所,Mill No.3,POI,POI,,建物,"[{""cat_id"": ""BUILDING"", ""category"": ""建物"", ""cat_name_en"": ""Building"", ""item_id"": ""FACTORY"", ""item_name_jp"": ""工場"", ""item_name_en"": ""Factory"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-10T17:57:16,,,,,
p_1775459651,1070.5486583975173,2952.1313345567346,,,EQUIPMENT_AND_VEHICLE,Equipment and Vehicle,,発電機,"[{""cat_id"": ""POWER_GENERATOR"", ""category"": ""発電機"", ""cat_name_en"": ""Power Generator"", ""item_id"": ""SOLAR_PANEL"", ""item_name_jp"": ""ソーラーパネル"", ""item_name_en"": ""Solar Panel"", ""qty"": ""1"", ""attributes"": {}}]",5,EQUIPMENT_AND_VEHICLE,,,,2026-04-17T09:43:08,,,,,
p_1775459728,1105.1775784753472,3273.5462508068854,,,EQUIPMENT_AND_VEHICLE,Equipment and Vehicle,,発電機,"[{""cat_id"": ""POWER_GENERATOR"", ""category"": ""発電機"", ""cat_name_en"": ""Power Generator"", ""item_id"": ""SOLAR_PANEL"", ""item_name_jp"": ""ソーラーパネル"", ""item_name_en"": ""Solar Panel"", ""qty"": ""1"", ""attributes"": {}}]",5,EQUIPMENT_AND_VEHICLE,,,,2026-04-17T17:37:45,,,,p_1775800509,inside
p_1775462524,1382.0402038291056,3383.505947977626,２Aごみ処理場,Dump Site 2A,POI,POI,,地形,"[{""cat_id"": ""TERRAIN"", ""category"": ""地形"", ""cat_name_en"": ""Terrain"", ""item_id"": ""POND"", ""item_name_jp"": ""池"", ""item_name_en"": ""Pond"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-10T14:04:30,,,,,
p_1775462575,1398.580053559824,3369.642259325033,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUNPED_MILITARY_CRATE"", ""item_name_jp"": ""捨てられた軍用クレート"", ""item_name_en"": ""Dunped Military Crate"", ""qty"": ""3"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUMPED_DUFFLE_BAG"", ""item_name_jp"": ""捨てられたダッフルバッグ"", ""item_name_en"": ""Dumped Duffle Bag"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUMPED_FOOT_LOCKER"", ""item_name_jp"": ""捨てられたフットロッカー"", ""item_name_en"": ""Dumped Foot Locker"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""EXPLOSIVE_BOX"", ""item_name_jp"": ""爆発物ボックス"", ""item_name_en"": ""Explosive Box"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUMPED_AMMO_BOX"", ""item_name_jp"": ""捨てられた弾薬箱"", ""item_name_en"": ""Dumped Ammo Box"", ""qty"": ""1"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}]",4,DEPLOYABLES,,,,2026-04-16T16:39:35,,,,p_1775462524,inside
p_1775464434,1566.3210746991747,3563.6589932410648,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUNPED_MILITARY_CRATE"", ""item_name_jp"": ""捨てられた軍用クレート"", ""item_name_en"": ""Dunped Military Crate"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUMPED_FOOT_LOCKER"", ""item_name_jp"": ""捨てられたフットロッカー"", ""item_name_en"": ""Dumped Foot Locker"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""EXPLOSIVE_BOX"", ""item_name_jp"": ""爆発物ボックス"", ""item_name_en"": ""Explosive Box"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUFFLE_BAG"", ""item_name_jp"": ""ダッフルバッグ"", ""item_name_en"": ""Duffle Bag"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUMPED_AMMO_BOX"", ""item_name_jp"": ""捨てられた弾薬箱"", ""item_name_en"": ""Dumped Ammo Box"", ""qty"": ""1"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}]",4,DEPLOYABLES,,,,2026-04-16T16:39:45,,,,p_1775464474,inside
p_1775464474,1549.9780643609104,3566.2930509143484,２Ｂごみ処理場,Dump Site B2,POI,POI,,地形,"[{""cat_id"": ""TERRAIN"", ""category"": ""地形"", ""cat_name_en"": ""Terrain"", ""item_id"": ""POND"", ""item_name_jp"": ""池"", ""item_name_en"": ""Pond"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-12T10:10:33,,,,,
p_1775464500,1858.0760589626957,3233.012618895273,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUNPED_MILITARY_CRATE"", ""item_name_jp"": ""捨てられた軍用クレート"", ""item_name_en"": ""Dunped Military Crate"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUMPED_FOOT_LOCKER"", ""item_name_jp"": ""捨てられたフットロッカー"", ""item_name_en"": ""Dumped Foot Locker"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""EXPLOSIVE_BOX"", ""item_name_jp"": ""爆発物ボックス"", ""item_name_en"": ""Explosive Box"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUMPED_DUFFLE_BAG"", ""item_name_jp"": ""捨てられたダッフルバッグ"", ""item_name_en"": ""Dumped Duffle Bag"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUMPED_AMMO_BOX"", ""item_name_jp"": ""捨てられた弾薬箱"", ""item_name_en"": ""Dumped Ammo Box"", ""qty"": ""1"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}]",3,DEPLOYABLES,,,,2026-04-16T16:39:58,,,,p_1775464520,inside
p_1775464520,1837.4169709132416,3220.517834914127,２Cごみ処理場,Dump Site 2C,POI,POI,,地形,"[{""cat_id"": ""TERRAIN"", ""category"": ""地形"", ""cat_name_en"": ""Terrain"", ""item_id"": ""POND"", ""item_name_jp"": ""池"", ""item_name_en"": ""Pond"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-11T21:59:44,,,,,
p_1775464584,1956.103666756915,3422.8315294527747,ノアイースタン鉄道事故現場,Noreastern Rail Wreckage,POI,POI,,,,3,POI,,,,2026-04-10T14:37:42,,,,,
p_1775464608,1963.9890847456334,3422.396820942886,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""MILITARY_CRRATE"", ""item_name_jp"": ""軍用クレート"", ""item_name_en"": ""Military Crate"", ""qty"": ""4"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": false}}]",5,DEPLOYABLES,,,,2026-04-17T13:45:09,,,,p_1775464584,inside
p_1775464648,2066.6680762540263,3218.497304306214,イブリル鉱山（北）,Averill Mines North,POI,POI,,地形,"[{""cat_id"": ""TERRAIN"", ""category"": ""地形"", ""cat_name_en"": ""Terrain"", ""item_id"": ""CAVE"", ""item_name_jp"": ""洞窟"", ""item_name_en"": ""Cave"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-11T18:13:57,,,,,
p_1775464780,2044.5992578008997,3260.1158146605735,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""MILITARY_CRRATE"", ""item_name_jp"": ""軍用クレート"", ""item_name_en"": ""Military Crate"", ""qty"": ""1"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": true}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""EXPLOSIVE_BOX"", ""item_name_jp"": ""爆発物ボックス"", ""item_name_en"": ""Explosive Box"", ""qty"": ""1"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": true}}]",3,DEPLOYABLES,,,,2026-04-14T22:17:27,,,,,
p_1775464807,2072.683522963904,3013.7104919225294,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""WEAPON_CASE"", ""item_name_jp"": ""ウェポンケース"", ""item_name_en"": ""Weapon Case"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": false, ""special_rule_enabled_3"": false}}]",3,DEPLOYABLES,,,,2026-04-17T09:48:52,,,,p_1775465323,inside
p_1775465323,2072.176422267175,3044.448246398677,ダークウッズキャビン,Dark Woods Cabin,POI,POI,,建物,"[{""cat_id"": ""BUILDING"", ""category"": ""建物"", ""cat_name_en"": ""Building"", ""item_id"": ""CABIN"", ""item_name_jp"": ""小屋"", ""item_name_en"": ""Cabin"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-10T14:32:25,,,,,
p_1775465417,1873.8017971109612,2890.1115103271886,廃洞窟,Abondoned Cave,POI,POI,,地形,"[{""cat_id"": ""TERRAIN"", ""category"": ""地形"", ""cat_name_en"": ""Terrain"", ""item_id"": ""CAVE"", ""item_name_jp"": ""洞窟"", ""item_name_en"": ""Cave"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-10T14:31:28,,,,,
p_1775465464,1892.3691905856383,2885.1739751104246,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""MILITARY_CRRATE"", ""item_name_jp"": ""軍用クレート"", ""item_name_en"": ""Military Crate"", ""qty"": ""1"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": true}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""FOOT_LCOKER"", ""item_name_jp"": ""フットロッカー"", ""item_name_en"": ""Foot Lcoker"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": true}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""WEAPON_CASE"", ""item_name_jp"": ""ウェポンケース"", ""item_name_en"": ""Weapon Case"", ""qty"": ""1"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": true}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""DUFFLE_BAG"", ""item_name_jp"": ""ダッフルバッグ"", ""item_name_en"": ""Duffle Bag"", ""qty"": ""3"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": true}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""AMMO_BOX"", ""item_name_jp"": ""弾薬箱"", ""item_name_en"": ""Ammo Box"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": true}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""EXPLOSIVE_BOX"", ""item_name_jp"": ""爆発物の箱"", ""item_name_en"": ""Explosive Box"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true, ""special_rule_enabled_2"": true, ""special_rule_enabled_3"": true}}]",3,DEPLOYABLES,,,,2026-04-16T18:37:13,,,,p_1775465417,inside
p_1775465507,1776.4948158860796,2981.506924455865,アルファ前哨基地,Outpost Alpha,POI,POI,,,,3,POI,,,,2026-04-10T14:31:48,,,,,
